date,amount,description
16-05-2025,725,BIGBASKET - BigBasket groceries BLR
15-10-2025,? 32.26,HDFC - HDFC bank charge MUM
23-01-2025,? 517.56,IRCTC - IRCTC train booking MUM
22-11-2025,? 350,SWIGGY - Swiggy food order Ref YQ7W4RFBPK
26-02-2025,"1,717.23",SLACK - Slack subscription Ref YCUFJLBGNM
30-09-2025,"1,469",ZOOM - Zoom subscription MUM
25-05-2025,? 333.10,SPOTIFY - Spotify subscription Ref ZY3ZLM6U2F
27-11-2025,50,IMPS - IMPS transfer Txn 0JJYTN15P5J0
29-12-2025,"? 1,381",NOTION - Notion subscription POS/RHVG4X
20-03-2025,287.35,NETFLIX - Netflix subscription
16-01-2025,? 80,DOMINOS - Dominos pizza ONLINE/L3GIZW
28-02-2025,259,HDFC - HDFC bank charge DEL
05-08-2025,"1,849",RELIANCE FRESH - Reliance Fresh groceries DEL
30-06-2025,228,STARBUCKS - Starbucks coffee ONLINE/8VAKP1
29-05-2025,"1,888 INR",SLACK - Slack subscription Payment 4X0U6M
16-11-2025,"? 1,566",ZOOM - Zoom subscription ONLINE/1BDDLY
11-03-2025,"1,951.19 INR",NEFT - NEFT transfer Txn 2HCKVOKB8TBF
25-11-2025,"11,717 INR",META ADS - Meta ads spend POS/XPLZ4M
04-04-2025,"10,250",UPI - UPI transfer Payment SEPK1P
23-03-2025,"? 2,672",FLIPKART - Flipkart office supplies
21-06-2025,432,KFC - KFC meal BLR
08-10-2025,"2,113 INR",GAS - Gas bill UPI/SO2MCK
07-02-2025,"1,387",ATLASSIAN - Atlassian Jira Ref P4NC1ARXY7
22-07-2025,? 120,UBER - Uber trip Ref XHMO1VGSFZ
06-03-2025,"15,753",INDIGO - IndiGo flight AHM
28-10-2025,? 719,RELIANCE FRESH - Reliance Fresh groceries Ref 8PJEFZQIYQ
29-10-2025,"? 12,943",UPI - UPI transfer BLR
02-09-2025,"2,033.56",DMART - DMart groceries BLR
21-10-2025,? 967,CA CONSULT - CA consultation MUM
23-02-2025,"? 2,237",AIRTEL - Airtel broadband bill Txn 4UYHX6V7DZX8
10-08-2025,"6,007 INR",VISTARA - Vistara flight DEL
04-04-2025,200 INR,ZOOM - Zoom subscription AHM
24-09-2025,960,ZOOM - Zoom subscription MUM
02-02-2025,"1,200 INR",ZOOM - Zoom subscription ONLINE/QMUWHL
14-08-2025,"12,680.67",GOOGLE ADS - Google ads spend POS/RF8NFM
25-02-2025,"? 2,279.36",FLIPKART - Flipkart office supplies UPI/C10OWT
25-05-2025,? 131,UBER - Uber trip Payment 3770HG
13-09-2025,"3,022",DMART - DMart groceries UPI/YZAATZ
03-06-2025,"2,329",GITHUB - GitHub subscription Txn 7DV1HGR5SC1E
08-11-2025,210 INR,UBER - Uber trip UPI/QJ2QRP
20-04-2025,"? 7,241",NEFT - NEFT transfer Txn GIY9IXY26WF4
18-06-2025,408.45,IRCTC - IRCTC train booking DEL
11-04-2025,10,ICICI - ICICI bank fee MUM
04-06-2025,? 230.06,DOMINOS - Dominos pizza Ref J57C1RTUJS
26-10-2025,? 28,SBI - SBI service charge Txn JMRTLJUPU4W7
17-06-2025,200,BIGBASKET - BigBasket groceries Payment W0R2I0
21-10-2025,173.34,SBI - SBI service charge MUM
17-08-2025,"1,083 INR",GITHUB - GitHub subscription Payment R1IJXZ
31-07-2025,765,ATLASSIAN - Atlassian Jira MUM
05-02-2025,"1,302.90",WATER - Water bill
18-11-2025,? 713,ZOOM - Zoom subscription POS/MKW7QG
25-10-2025,"1,286 INR",NOTION - Notion subscription ONLINE/2VU0VW
10-01-2025,"9,464.83 INR",GOOGLE CLOUD - Google Cloud billing DEL
01-04-2025,133 INR,SBI - SBI service charge ONLINE/EVPUYX
07-10-2025,"1,341",DMART - DMart groceries MUM
03-04-2025,? 159,HDFC - HDFC bank charge POS/AYMQVC
15-01-2025,444,KFC - KFC meal AHM
11-02-2025,"? 16,362.93",GOOGLE ADS - Google ads spend ONLINE/39XN5G
20-08-2025,"1,357",JIO - Jio fiber bill UPI/FGBRW6
10-07-2025,? 809,ATLASSIAN - Atlassian Jira AHM
01-01-2025,641,STARBUCKS - Starbucks coffee UPI/U6WN0K
19-04-2025,"1,200",MAKEMYTRIP - MakeMyTrip booking BLR
14-09-2025,"2,957 INR",FLIPKART - Flipkart office supplies
26-09-2025,? 654,IRCTC - IRCTC train booking MUM
17-02-2025,"? 1,515",ADOBE - Adobe subscription Txn FQNDACNMKF2D
20-01-2025,"2,064",GAS - Gas bill ONLINE/4VD1UN
31-07-2025,263 INR,SWIGGY - Swiggy food order Txn I8G6P4R62D6L
26-06-2025,"10,944 INR",GOOGLE CLOUD - Google Cloud billing Txn ET03ZLUI0JT5
29-01-2025,? 367,KFC - KFC meal UPI/PEG2YR
22-08-2025,"1,645",WATER - Water bill AHM
18-03-2025,? 30,HDFC - HDFC bank charge Txn WMH5BD5IARIX
13-10-2025,? 50,UPI - UPI transfer AHM
13-09-2025,"2,217 INR",MICROSOFT - Microsoft 365 ONLINE/ZN9K7P
01-02-2025,"4,623 INR",LEGAL - Legal services AHM
02-11-2025,"1,674 INR",AMAZON - Amazon office supplies Txn QSZYFWKX84J1
28-03-2025,"? 6,886",INDIGO - IndiGo flight Ref 2KJ92BJWOC
13-07-2025,861 INR,DMART - DMart groceries ONLINE/EQTKVJ
24-10-2025,"1,774",RELIANCE FRESH - Reliance Fresh groceries ONLINE/5PJMD3
21-10-2025,"1,200",VISTARA - Vistara flight UPI/CYM9PI
09-03-2025,473.51,SPOTIFY - Spotify subscription POS/A2ERVG
23-06-2025,"4,842 INR",GOOGLE CLOUD - Google Cloud billing AHM
29-08-2025,"13,264",AWS - AWS cloud charges UPI/TFHCJ6
02-05-2025,"? 8,612",VISTARA - Vistara flight MUM
31-10-2025,"3,282.53",AIRTEL - Airtel broadband bill Ref YKOTVZNT0K
14-12-2025,"? 10,992",VISTARA - Vistara flight MUM
06-10-2025,"1,067",ZOOM - Zoom subscription MUM
28-03-2025,"1,557",META ADS - Meta ads spend AHM
10-05-2025,"? 2,166",ADOBE - Adobe subscription MUM
12-06-2025,"? 3,771",NEFT - NEFT transfer Txn V2W3U0EP9Q2Z
26-07-2025,"? 1,318",AMAZON - Amazon office supplies BLR
19-03-2025,924,SWIGGY - Swiggy food order BLR
21-03-2025,? 171,ICICI - ICICI bank fee
01-08-2025,"? 15,815",GOOGLE CLOUD - Google Cloud billing Payment 70TPWS
21-07-2025,"6,996 INR",AWS - AWS cloud charges UPI/TYUFA5
04-09-2025,447,STARBUCKS - Starbucks coffee Ref N7G42HPP7F
16-07-2025,134,ICICI - ICICI bank fee DEL
13-05-2025,"1,014",WATER - Water bill ONLINE/UHE1GQ
20-05-2025,"27,533 INR",META ADS - Meta ads spend DEL
02-05-2025,"? 2,196",ATLASSIAN - Atlassian Jira Txn WOZ0T1JY0L9M
10-05-2025,"? 11,175.34",AWS - AWS cloud charges
08-10-2025,? 174,ICICI - ICICI bank fee MUM
19-05-2025,? 267,ZOMATO - Zomato food order UPI/H652Z1
26-04-2025,"? 1,343",DMART - DMart groceries
24-05-2025,"3,465 INR",MICROSOFT - Microsoft 365 AHM
06-08-2025,? 381,SPOTIFY - Spotify subscription ONLINE/XK6767
10-11-2025,"6,897",VISTARA - Vistara flight POS/GWG8S4
23-08-2025,"? 12,815",CA CONSULT - CA consultation Txn NV76LUX3JY5X
24-03-2025,"2,626",ATLASSIAN - Atlassian Jira
10-04-2025,"4,006 INR",AWS - AWS cloud charges MUM
18-05-2025,"1,502",FLIPKART - Flipkart office supplies Txn BQDI506SP5FN
28-06-2025,"2,302",AIRTEL - Airtel broadband bill AHM
17-09-2025,305,IRCTC - IRCTC train booking POS/T0363G
10-01-2025,"? 4,236",META ADS - Meta ads spend AHM
09-01-2025,"? 1,412",GAS - Gas bill POS/RWE78P
28-11-2025,500,FREELANCER - Freelance services MUM
25-12-2025,"1,359",FLIPKART - Flipkart office supplies AHM
03-08-2025,"3,692",UPI - UPI transfer AHM
27-04-2025,"1,512",ATLASSIAN - Atlassian Jira Txn U8XBD1HS8XGU
23-10-2025,"? 4,271",JIO - Jio fiber bill Txn 1QSI3BYNKOAA
31-07-2025,"7,359 INR",CA CONSULT - CA consultation UPI/X60861
23-07-2025,"11,434 INR",LEGAL - Legal services Txn KLS7K6M9W4PA
30-07-2025,? 457,SPOTIFY - Spotify subscription Payment 6XS4K4
29-05-2025,165 INR,ICICI - ICICI bank fee UPI/8DUSS6
06-11-2025,? 293,DMART - DMart groceries DEL
28-06-2025,"? 2,167",VISTARA - Vistara flight UPI/IP2E4Y
15-11-2025,"? 1,809",BIGBASKET - BigBasket groceries DEL
26-07-2025,"9,768.11",IMPS - IMPS transfer ONLINE/TWFWVH
07-09-2025,500,LEGAL - Legal services UPI/XYPC0P
24-09-2025,"2,665",ZOOM - Zoom subscription AHM
07-02-2025,"? 12,541",AWS - AWS cloud charges AHM
23-03-2025,"2,676",ADOBE - Adobe subscription ONLINE/I2LO98
14-06-2025,? 325,DOMINOS - Dominos pizza AHM
07-03-2025,"2,075.80",WATER - Water bill UPI/9RACMQ
06-11-2025,200,RELIANCE FRESH - Reliance Fresh groceries Ref CLJQXXPKQK
09-01-2025,"5,689",MAKEMYTRIP - MakeMyTrip booking MUM
08-01-2025,"13,754 INR",META ADS - Meta ads spend Txn EOJ9UV0KJ2MW
12-11-2025,150,FLIPKART - Flipkart office supplies Ref QPK8QTP94E
27-09-2025,"1,517",IMPS - IMPS transfer AHM
27-06-2025,"10,955 INR",VISTARA - Vistara flight Ref OIIIT95OM0
18-02-2025,421,NETFLIX - Netflix subscription MUM
18-03-2025,50,UBER - Uber trip ONLINE/H2FEN4
24-06-2025,"8,611 INR",GOOGLE CLOUD - Google Cloud billing Payment IT212O
19-12-2025,64.23,HDFC - HDFC bank charge BLR
09-01-2025,"2,075",ZOOM - Zoom subscription Ref R74ZGZT0S1
27-08-2025,"2,777",AIRTEL - Airtel broadband bill BLR
02-06-2025,363,SWIGGY - Swiggy food order
09-11-2025,"2,266 INR",RELIANCE FRESH - Reliance Fresh groceries Ref E62IXEPWX7
08-10-2025,"? 2,428",GITHUB - GitHub subscription POS/P8XMWJ
04-06-2025,"2,353",SLACK - Slack subscription DEL
07-12-2025,"15,097",GOOGLE CLOUD - Google Cloud billing AHM
28-04-2025,61 INR,IMPS - IMPS transfer Payment XW8LAK
02-11-2025,"3,276 INR",WATER - Water bill POS/0K31BW
02-04-2025,"2,144",JIO - Jio fiber bill Payment W5D3LZ
08-09-2025,"? 1,548",GITHUB - GitHub subscription MUM
28-03-2025,349.12,OLA - Ola ride Payment YEKJSN
03-09-2025,247,IRCTC - IRCTC train booking Payment VC5FZB
03-10-2025,"2,634",DMART - DMart groceries UPI/EGCIQ7
15-05-2025,517,RELIANCE FRESH - Reliance Fresh groceries UPI/GG51MI
25-12-2025,"? 1,154",BIGBASKET - BigBasket groceries Ref NI0QFW086T
13-08-2025,"? 10,791",GOOGLE CLOUD - Google Cloud billing DEL
08-01-2025,"1,330",SLACK - Slack subscription POS/IB4RVL
08-11-2025,"? 3,205",UPI - UPI transfer Payment UWLB48
19-11-2025,"5,455",FLIPKART - Flipkart office supplies POS/3EQ386
06-02-2025,"? 3,661.80",CA CONSULT - CA consultation Txn OIZJJCKRZS3S
15-12-2025,"? 2,344",SLACK - Slack subscription DEL
08-01-2025,"2,191",GAS - Gas bill Txn SE4QNP0FGO7T
11-02-2025,354,UBER - Uber trip
20-07-2025,205,UBER - Uber trip BLR
06-04-2025,"1,570 INR",NOTION - Notion subscription POS/2AH8NU
16-09-2025,451.9,KFC - KFC meal POS/LHJRLP
20-01-2025,? 406,UBER - Uber trip MUM
21-09-2025,? 354.34,AMAZON - Amazon office supplies MUM
30-06-2025,? 10,SBI - SBI service charge BLR
02-12-2025,214,ICICI - ICICI bank fee Txn L9GE3BNHGH0E
06-02-2025,322.46 INR,OLA - Ola ride UPI/MP9UT5
24-01-2025,"? 17,443",UPI - UPI transfer
19-08-2025,"? 2,499",ADOBE - Adobe subscription Ref HLJMALPAQA
06-07-2025,"2,189",ELECTRICITY - Electricity bill DEL
04-04-2025,"? 1,413",SLACK - Slack subscription POS/Z56AQE
10-02-2025,? 191,SWIGGY - Swiggy food order
26-01-2025,"23,245",META ADS - Meta ads spend Txn 5XKFSO0VDDKE
30-01-2025,? 903,ADOBE - Adobe subscription Payment I3GHHH
21-02-2025,"1,763.73",WATER - Water bill MUM
17-07-2025,"6,864",VISTARA - Vistara flight DEL
11-06-2025,622 INR,NETFLIX - Netflix subscription Txn QVZNR5ZDBV7E
20-08-2025,"? 1,769",ELECTRICITY - Electricity bill
18-04-2025,"6,563",FLIPKART - Flipkart office supplies POS/HZ0L5N
12-01-2025,"10,505.55",INDIGO - IndiGo flight Payment LIAO30
18-05-2025,"2,020 INR",NOTION - Notion subscription AHM
23-12-2025,137.75 INR,HDFC - HDFC bank charge BLR
04-11-2025,"1,757",ATLASSIAN - Atlassian Jira MUM
02-02-2025,"1,318",AIRTEL - Airtel broadband bill Payment A8UVZJ
15-04-2025,"8,530 INR",MAKEMYTRIP - MakeMyTrip booking DEL
25-04-2025,604 INR,SLACK - Slack subscription Ref OBACTTTKV7
01-03-2025,"2,866",VISTARA - Vistara flight UPI/6IZEUL
04-10-2025,239,OLA - Ola ride BLR
29-10-2025,765 INR,SWIGGY - Swiggy food order
14-09-2025,"1,213.35 INR",BIGBASKET - BigBasket groceries
09-10-2025,? 112,HDFC - HDFC bank charge MUM
28-12-2025,"9,381 INR",INDIGO - IndiGo flight DEL
17-02-2025,50 INR,IMPS - IMPS transfer UPI/4FTTEB
03-01-2025,? 207,HDFC - HDFC bank charge
16-12-2025,240 INR,NETFLIX - Netflix subscription Ref 6G92MSQGB7
01-10-2025,"1,415",BIGBASKET - BigBasket groceries
23-01-2025,"10,199",FREELANCER - Freelance services
24-01-2025,"? 1,261",IRCTC - IRCTC train booking MUM
19-05-2025,"1,270 INR",ZOOM - Zoom subscription BLR
19-05-2025,? 50,NEFT - NEFT transfer UPI/ZAW422
13-10-2025,619,ADOBE - Adobe subscription
12-04-2025,"2,864 INR",FREELANCER - Freelance services MUM
24-02-2025,"3,311",AIRTEL - Airtel broadband bill
31-05-2025,"? 6,001",FREELANCER - Freelance services
24-07-2025,559 INR,SWIGGY - Swiggy food order AHM
03-12-2025,"2,192",NOTION - Notion subscription BLR
25-02-2025,? 80,SWIGGY - Swiggy food order DEL
31-01-2025,? 421.39,SPOTIFY - Spotify subscription DEL
05-05-2025,? 604.48,META ADS - Meta ads spend Payment AGCWXN
31-07-2025,"12,291",LEGAL - Legal services
22-03-2025,882,JIO - Jio fiber bill Payment 02RXYQ
02-06-2025,"1,136",BIGBASKET - BigBasket groceries Payment HBIQDG
14-01-2025,"1,423",GAS - Gas bill AHM
19-03-2025,10,ICICI - ICICI bank fee Ref 0H170KBSJ5
29-05-2025,"2,240 INR",ZOOM - Zoom subscription MUM
03-12-2025,"? 8,442",FREELANCER - Freelance services AHM
23-06-2025,329 INR,STARBUCKS - Starbucks coffee DEL
03-04-2025,"? 1,725",WATER - Water bill Payment FM27BD
11-11-2025,"? 2,356",JIO - Jio fiber bill UPI/FFID63
23-10-2025,321,OLA - Ola ride DEL
06-02-2025,"2,530",AIRTEL - Airtel broadband bill BLR
06-03-2025,"2,425 INR",GAS - Gas bill
10-06-2025,200,GITHUB - GitHub subscription Txn HB85L26PXLIO
01-09-2025,"? 1,175",BIGBASKET - BigBasket groceries Txn B8W9CE2O85QA
10-01-2025,"1,454",BIGBASKET - BigBasket groceries UPI/3OYOPL
22-06-2025,615 INR,KFC - KFC meal Txn KIJXY9K4S1GS
05-10-2025,? 444,SPOTIFY - Spotify subscription BLR
04-09-2025,237 INR,OLA - Ola ride UPI/8VIWPW
24-12-2025,101,SBI - SBI service charge BLR
19-11-2025,? 200,DMART - DMart groceries
26-08-2025,400,DOMINOS - Dominos pizza MUM
11-10-2025,"2,535 INR",GAS - Gas bill Ref TCQNMN5VKB
04-09-2025,605,RELIANCE FRESH - Reliance Fresh groceries UPI/YHFEL1
16-07-2025,? 44.53,SBI - SBI service charge Payment B6PK9P
09-01-2025,"1,313",DMART - DMart groceries ONLINE/6VO23A
07-04-2025,789 INR,KFC - KFC meal MUM
27-01-2025,200,RELIANCE FRESH - Reliance Fresh groceries AHM
26-03-2025,"1,567",ATLASSIAN - Atlassian Jira BLR
06-05-2025,"1,111 INR",JIO - Jio fiber bill POS/PTNFLF
22-04-2025,905.09 INR,ATLASSIAN - Atlassian Jira Txn 5RFJMALY7JX7
04-12-2025,"7,228",IMPS - IMPS transfer UPI/FWCWWP
12-07-2025,"? 12,697",GOIBIBO - Goibibo booking ONLINE/NPYRZQ
31-10-2025,902.1,ZOMATO - Zomato food order
03-09-2025,"4,216",MAKEMYTRIP - MakeMyTrip booking Payment KM6JBJ
24-08-2025,"1,479 INR",AIRTEL - Airtel broadband bill Payment Z8ZPQL
17-12-2025,"3,516",AWS - AWS cloud charges Ref VWNFSBHGI0
16-04-2025,"16,116",GOOGLE ADS - Google ads spend DEL
12-02-2025,"1,378",ADOBE - Adobe subscription Payment UUGLNG
24-03-2025,626 INR,GITHUB - GitHub subscription BLR
28-08-2025,? 326,GAS - Gas bill MUM
11-04-2025,? 190,UBER - Uber trip DEL
09-12-2025,811 INR,IRCTC - IRCTC train booking POS/7UIJEL
16-05-2025,508,SPOTIFY - Spotify subscription Txn JL38SHA48W21
23-01-2025,"1,404 INR",IRCTC - IRCTC train booking POS/88LFMX
19-08-2025,"? 1,356",ZOOM - Zoom subscription
23-04-2025,312,UBER - Uber trip MUM
09-02-2025,"2,550",GITHUB - GitHub subscription DEL
23-01-2025,? 736,SLACK - Slack subscription DEL
24-09-2025,10,ICICI - ICICI bank fee AHM
20-04-2025,426 INR,STARBUCKS - Starbucks coffee AHM
07-07-2025,"5,672.59",VISTARA - Vistara flight MUM
10-05-2025,"1,286",MAKEMYTRIP - MakeMyTrip booking AHM
13-01-2025,"? 2,756",ELECTRICITY - Electricity bill
11-07-2025,"5,377 INR",CA CONSULT - CA consultation BLR
31-07-2025,"22,458 INR",AWS - AWS cloud charges Ref RJGY7L4MFF
16-02-2025,171,IRCTC - IRCTC train booking ONLINE/CIB3IY
16-09-2025,"2,174.59",IMPS - IMPS transfer UPI/QUHS7V
08-01-2025,774,ZOMATO - Zomato food order Txn 6GYGGI6DWIAX
18-03-2025,"1,200",MAKEMYTRIP - MakeMyTrip booking Ref WBITQPJKVV
19-09-2025,500,CA CONSULT - CA consultation POS/WX8AGD
01-01-2025,? 622.09,WATER - Water bill Ref JUYGVU9RN2
25-07-2025,"2,597",GAS - Gas bill Txn EQXZQWP13KJK
05-09-2025,200,DMART - DMart groceries UPI/Z0BRLT
20-07-2025,"1,444.94 INR",ADOBE - Adobe subscription BLR
05-07-2025,71.34,UBER - Uber trip Payment BCSLS2
24-04-2025,"2,671 INR",GAS - Gas bill
24-04-2025,"15,980",GOOGLE CLOUD - Google Cloud billing POS/SEX4VC
04-03-2025,"1,400 INR",ATLASSIAN - Atlassian Jira ONLINE/3GLH14
30-05-2025,? 413,OLA - Ola ride POS/3SDTG9
25-11-2025,? 434,DMART - DMart groceries BLR
26-03-2025,"? 9,848",INDIGO - IndiGo flight Payment DXJIMP
16-03-2025,"14,729 INR",AWS - AWS cloud charges UPI/HOR6QS
26-03-2025,"? 15,310.02",MAKEMYTRIP - MakeMyTrip booking MUM
26-01-2025,"8,023",LEGAL - Legal services POS/7ARUX2
02-11-2025,"? 1,062.55",GOOGLE CLOUD - Google Cloud billing ONLINE/1O8W7W
28-03-2025,"10,989",GOOGLE CLOUD - Google Cloud billing MUM
04-08-2025,823,ZOMATO - Zomato food order Payment KA62ZP
12-09-2025,652 INR,MICROSOFT - Microsoft 365 BLR
27-06-2025,500 INR,FREELANCER - Freelance services ONLINE/A2O5XY
12-10-2025,196,UBER - Uber trip DEL
12-08-2025,125 INR,HDFC - HDFC bank charge
15-01-2025,"2,368",SLACK - Slack subscription AHM
31-03-2025,"? 9,375",FREELANCER - Freelance services Payment 85WEA1
03-06-2025,470,SPOTIFY - Spotify subscription Txn FOKC2GS3DI1Y
02-07-2025,"2,562",MAKEMYTRIP - MakeMyTrip booking Ref UOC4YDUEZY
22-01-2025,200 INR,BIGBASKET - BigBasket groceries ONLINE/WGXBEU
04-04-2025,? 500,GOOGLE CLOUD - Google Cloud billing AHM
30-06-2025,"5,371",AMAZON - Amazon office supplies MUM
02-09-2025,"9,266.72 INR",LEGAL - Legal services BLR
11-09-2025,"1,605",SLACK - Slack subscription DEL
22-12-2025,"3,247.22",CA CONSULT - CA consultation AHM
06-10-2025,? 409,SPOTIFY - Spotify subscription Ref WZ9D1159RC
18-08-2025,500 INR,LEGAL - Legal services Txn 3C3KK0QFK230
17-08-2025,? 126,ICICI - ICICI bank fee UPI/9UQK0J
02-12-2025,150,AMAZON - Amazon office supplies POS/52N2XX
05-07-2025,"1,463.20",WATER - Water bill AHM
06-10-2025,"? 1,153",FLIPKART - Flipkart office supplies BLR
10-11-2025,"1,732 INR",ELECTRICITY - Electricity bill
09-09-2025,"1,067",RELIANCE FRESH - Reliance Fresh groceries BLR
15-09-2025,488,GAS - Gas bill Payment 2U1NR1
08-02-2025,? 510,SPOTIFY - Spotify subscription MUM
02-08-2025,"? 10,848",CA CONSULT - CA consultation ONLINE/T9R74G
07-12-2025,164 INR,OLA - Ola ride Ref 82708VQGRU
13-09-2025,"6,266",CA CONSULT - CA consultation POS/41AJY2
08-03-2025,? 916,MICROSOFT - Microsoft 365 DEL
23-03-2025,"1,792 INR",SLACK - Slack subscription Txn FPX0BEUW0K5O
27-07-2025,"9,140.88",META ADS - Meta ads spend AHM
05-02-2025,879 INR,GITHUB - GitHub subscription BLR
24-06-2025,"? 4,068",FREELANCER - Freelance services Payment ISDWEY
04-02-2025,227.29 INR,UBER - Uber trip Ref IXJE60BQVV
18-04-2025,"4,601",GOIBIBO - Goibibo booking Ref UBFZHCKFW6
29-11-2025,"1,915",NOTION - Notion subscription AHM
21-09-2025,"2,409.07",GOOGLE CLOUD - Google Cloud billing Ref QZMWM7MG11
30-09-2025,"2,850",NOTION - Notion subscription UPI/B8IEPB
13-08-2025,"4,513",LEGAL - Legal services DEL
10-09-2025,"? 2,330",RELIANCE FRESH - Reliance Fresh groceries BLR
08-03-2025,"2,142 INR",ATLASSIAN - Atlassian Jira POS/0933JR
12-10-2025,"? 10,306",IMPS - IMPS transfer Payment CEP18I
30-09-2025,945.19 INR,ATLASSIAN - Atlassian Jira Txn O2N9RUH5DJV6
13-05-2025,"12,106 INR",INDIGO - IndiGo flight DEL
09-10-2025,"4,673",FREELANCER - Freelance services Payment NLXJFT
03-07-2025,500,FREELANCER - Freelance services Ref KHOMROX39E
27-01-2025,"? 17,323",IMPS - IMPS transfer Ref I409FMKSJ9
14-05-2025,"8,162.97 INR",UPI - UPI transfer ONLINE/0814VV
05-11-2025,"? 2,943",WATER - Water bill UPI/D2APJO
16-06-2025,545.61 INR,STARBUCKS - Starbucks coffee AHM
29-04-2025,"? 1,499",GAS - Gas bill Ref 91I8FXG654
27-02-2025,200,ELECTRICITY - Electricity bill POS/832FUB
17-12-2025,"? 1,927.36",ATLASSIAN - Atlassian Jira AHM
05-07-2025,"14,597 INR",META ADS - Meta ads spend
29-05-2025,470,ZOMATO - Zomato food order Payment RCQU7K
25-03-2025,"1,867",DMART - DMart groceries Txn RQVZW61NI4XT
12-05-2025,150,AMAZON - Amazon office supplies POS/LSL266
11-10-2025,"? 2,751",AIRTEL - Airtel broadband bill ONLINE/RNJD0G
10-11-2025,"? 12,055",VISTARA - Vistara flight DEL
11-05-2025,? 273,UBER - Uber trip POS/46JBEA
13-06-2025,315,NETFLIX - Netflix subscription
11-07-2025,"1,203.91 INR",RELIANCE FRESH - Reliance Fresh groceries Ref NOVXXVYANW
12-11-2025,150,IRCTC - IRCTC train booking AHM
15-11-2025,"1,057",GITHUB - GitHub subscription DEL
20-02-2025,353,RELIANCE FRESH - Reliance Fresh groceries Payment 9233U8
17-12-2025,"? 2,080",ZOOM - Zoom subscription Payment I10PER
18-03-2025,"2,696",NEFT - NEFT transfer BLR
11-11-2025,850 INR,DMART - DMart groceries UPI/PU692P
16-12-2025,"? 4,345.69",META ADS - Meta ads spend MUM
18-08-2025,150,AMAZON - Amazon office supplies
17-08-2025,"5,888 INR",LEGAL - Legal services
14-07-2025,? 331,DOMINOS - Dominos pizza Txn FWI84V590VLB
21-07-2025,200.92,ICICI - ICICI bank fee MUM
30-09-2025,"8,682",LEGAL - Legal services MUM
12-09-2025,? 10,HDFC - HDFC bank charge BLR
20-09-2025,"? 1,770",WATER - Water bill DEL
16-10-2025,"13,182",MAKEMYTRIP - MakeMyTrip booking BLR
21-03-2025,? 200,ATLASSIAN - Atlassian Jira AHM
11-04-2025,? 218,BIGBASKET - BigBasket groceries POS/L83MDT
30-03-2025,529,SWIGGY - Swiggy food order MUM
18-01-2025,"? 1,464",DMART - DMart groceries Ref 7NNKJPV5MS
10-11-2025,80,ICICI - ICICI bank fee UPI/45FAR1
13-09-2025,"2,347",ATLASSIAN - Atlassian Jira DEL
13-05-2025,"1,193 INR",BIGBASKET - BigBasket groceries Ref 1BH2NGPV89
06-03-2025,676,KFC - KFC meal MUM
02-04-2025,"? 2,929",GOOGLE CLOUD - Google Cloud billing DEL
14-10-2025,313.23,ELECTRICITY - Electricity bill Ref JOATCNTH1J
03-08-2025,"? 2,646.01",CA CONSULT - CA consultation DEL
29-08-2025,"1,858",AIRTEL - Airtel broadband bill DEL
05-10-2025,? 80,SWIGGY - Swiggy food order ONLINE/CQ4HEV
21-05-2025,50 INR,UPI - UPI transfer BLR
19-04-2025,"18,205.57 INR",GOOGLE CLOUD - Google Cloud billing BLR
24-02-2025,22,SBI - SBI service charge
04-09-2025,"4,350",GOIBIBO - Goibibo booking DEL
27-02-2025,"13,025 INR",META ADS - Meta ads spend ONLINE/NK9LM0
20-05-2025,"? 1,272",GAS - Gas bill UPI/AKO1WN
31-03-2025,262,STARBUCKS - Starbucks coffee Payment 8ARUOE
28-07-2025,"? 1,562",BIGBASKET - BigBasket groceries MUM
14-07-2025,"9,517",LEGAL - Legal services BLR
03-04-2025,"4,383 INR",FLIPKART - Flipkart office supplies DEL
09-08-2025,112,HDFC - HDFC bank charge MUM
05-11-2025,"? 1,981",DMART - DMart groceries UPI/ES7T98
04-02-2025,? 146,OLA - Ola ride POS/AWAJ5T
21-04-2025,"? 1,092",MICROSOFT - Microsoft 365 POS/KTTUNK
22-03-2025,702.61 INR,IRCTC - IRCTC train booking DEL
29-10-2025,"? 1,211",IMPS - IMPS transfer Ref TKC7KWBUJQ
28-04-2025,144,HDFC - HDFC bank charge Ref 0EAU5KUN96
20-02-2025,355,ZOMATO - Zomato food order Ref 8RI2U8GXTM
10-07-2025,"13,383",NEFT - NEFT transfer BLR
22-01-2025,"? 2,124",AIRTEL - Airtel broadband bill Txn WQ590186HAM8
04-06-2025,"? 2,007",SLACK - Slack subscription MUM
24-07-2025,"2,091",FLIPKART - Flipkart office supplies BLR
05-08-2025,50 INR,UPI - UPI transfer AHM
08-07-2025,"1,544",ATLASSIAN - Atlassian Jira AHM
11-02-2025,"8,554.35",IMPS - IMPS transfer MUM
13-08-2025,254 INR,SWIGGY - Swiggy food order Txn DX3SDL168W5K
18-01-2025,322,OLA - Ola ride
13-04-2025,668 INR,MICROSOFT - Microsoft 365 POS/O5X1GZ
13-06-2025,"? 1,377",RELIANCE FRESH - Reliance Fresh groceries Payment 7NT0GF
28-12-2025,"9,599",META ADS - Meta ads spend Ref FZOZJ3PPJK
20-08-2025,154,UBER - Uber trip BLR
