date,amount,description
2025-11-11,"2,288",ELECTRICITY - Electricity bill Payment 4I5BH9
2025-12-23,₹466,STARBUCKS - Starbucks coffee Txn OZSZN5CTTA54
2025-07-26,50 INR,UPI - UPI transfer UPI/28JG5W
2025-09-02,"13,776",VISTARA - Vistara flight AHM
2025-03-12,₹150.61,OLA - Ola ride POS/IZU4H6
2025-12-15,"₹5,271",NEFT - NEFT transfer AHM
2025-09-20,"16,170",LEGAL - Legal services MUM
2025-02-28,₹823,RELIANCE FRESH - Reliance Fresh groceries
2025-08-29,₹200,MICROSOFT - Microsoft 365 DEL
2025-05-26,287 INR,DOMINOS - Dominos pizza ONLINE/AIUK0U
2025-09-15,132.61,ICICI - ICICI bank fee Txn NWR9D2J6Q2LK
2025-08-05,"₹7,572",FREELANCER - Freelance services UPI/9HN2AG
2025-09-14,376 INR,DOMINOS - Dominos pizza BLR
2025-08-15,₹112,HDFC - HDFC bank charge
2025-12-13,"₹3,293.53",CA CONSULT - CA consultation Ref 3OZG8AYMXF
2025-09-27,"₹15,603",META ADS - Meta ads spend AHM
2025-08-27,₹541,STARBUCKS - Starbucks coffee
2025-10-03,"1,320.19",GITHUB - GitHub subscription AHM
2025-02-09,"₹8,428",INDIGO - IndiGo flight ONLINE/KCH23U
2025-12-20,"3,618",UPI - UPI transfer ONLINE/BGG42M
2025-09-26,₹114,ICICI - ICICI bank fee AHM
2025-07-09,"₹13,258",VISTARA - Vistara flight Ref 1JH83A6F2C
2025-12-18,80,STARBUCKS - Starbucks coffee Txn 5YBIZ8EWV6SK
2025-06-18,"₹14,365",LEGAL - Legal services Txn BMCO1BKIFH9S
2025-02-11,"₹1,997",RELIANCE FRESH - Reliance Fresh groceries ONLINE/C2HUYB
2025-10-13,"₹1,487",IRCTC - IRCTC train booking Txn KDVWUWS087DG
2025-01-19,"13,467",CA CONSULT - CA consultation ONLINE/FNHSUH
2025-06-26,282,SPOTIFY - Spotify subscription Txn FLZJBZOEK8YL
2025-11-22,"3,705",MICROSOFT - Microsoft 365 BLR
2025-07-23,"₹1,303.19",ELECTRICITY - Electricity bill MUM
2025-09-28,"₹2,953",JIO - Jio fiber bill BLR
2025-04-05,613 INR,DMART - DMart groceries
2025-07-22,₹312,ZOMATO - Zomato food order
2025-01-21,477.93,DOMINOS - Dominos pizza UPI/TGQEIW
2025-03-05,"₹5,819",MAKEMYTRIP - MakeMyTrip booking Ref TERMYZF5GX
2025-11-14,₹136,SBI - SBI service charge
2025-09-18,"₹1,807",FLIPKART - Flipkart office supplies
2025-05-18,688 INR,BIGBASKET - BigBasket groceries ONLINE/QPQFNQ
2025-08-31,"5,214",FLIPKART - Flipkart office supplies
2025-10-18,"₹1,101",FLIPKART - Flipkart office supplies ONLINE/2WNNGY
2025-07-22,530,NOTION - Notion subscription Txn KJHUWFCWSIHQ
2025-01-04,"1,482 INR",RELIANCE FRESH - Reliance Fresh groceries ONLINE/SZYAQD
2025-03-21,"₹12,903",GOOGLE ADS - Google ads spend POS/R1K8D1
2025-02-07,"₹2,712",BIGBASKET - BigBasket groceries BLR
2025-01-03,"₹9,873",AWS - AWS cloud charges UPI/QY28TK
2025-09-20,163.33,ICICI - ICICI bank fee BLR
2025-12-26,"₹1,967",RELIANCE FRESH - Reliance Fresh groceries Txn H4SLPRS0HI7A
2025-03-21,"6,032",LEGAL - Legal services MUM
2025-09-27,"₹1,396.89",SLACK - Slack subscription AHM
2025-09-18,"2,496",RELIANCE FRESH - Reliance Fresh groceries UPI/EBZSW5
2025-12-18,"8,750 INR",FLIPKART - Flipkart office supplies ONLINE/GGG0JM
2025-01-17,"6,792 INR",NEFT - NEFT transfer AHM
2025-03-19,"5,968",CA CONSULT - CA consultation Txn Z4SGEW9U62MA
2025-01-10,"₹5,050",AMAZON - Amazon office supplies Payment TMALNC
2025-04-19,287.67 INR,NETFLIX - Netflix subscription POS/DHHI4Y
2025-10-21,128,ICICI - ICICI bank fee DEL
2025-01-19,₹329,DMART - DMart groceries
2025-06-07,"7,574",UPI - UPI transfer Payment E5YSO0
2025-08-24,"5,088",GOIBIBO - Goibibo booking BLR
2025-06-29,183,UBER - Uber trip AHM
2025-04-18,"₹3,692",AMAZON - Amazon office supplies Ref HKAJN5KIBD
2025-01-13,₹470,DOMINOS - Dominos pizza AHM
2025-04-25,"4,510",GAS - Gas bill MUM
2025-03-23,"8,792",GOOGLE CLOUD - Google Cloud billing BLR
2025-02-04,₹60,ICICI - ICICI bank fee DEL
2025-11-11,697 INR,MICROSOFT - Microsoft 365
2025-08-08,"₹6,160",FREELANCER - Freelance services DEL
2025-01-09,₹537,NETFLIX - Netflix subscription POS/YGU77F
2025-06-26,485.09 INR,SPOTIFY - Spotify subscription Txn C23OSUYH9ZZH
2025-08-12,"₹1,214",MICROSOFT - Microsoft 365 Ref I44JDH69ME
2025-11-27,"5,475",INDIGO - IndiGo flight AHM
2025-10-03,411.98,GITHUB - GitHub subscription
2025-10-15,"₹7,837",MAKEMYTRIP - MakeMyTrip booking BLR
2025-09-04,"1,873 INR",GOOGLE ADS - Google ads spend POS/W3RYW0
2025-04-06,₹957,BIGBASKET - BigBasket groceries MUM
2025-05-17,₹178,ICICI - ICICI bank fee AHM
2025-09-07,₹174,SWIGGY - Swiggy food order MUM
2025-03-10,₹65,SBI - SBI service charge Txn VL85HFNEPJRJ
2025-01-08,114.60,SBI - SBI service charge UPI/MDVH8X
2025-09-28,"2,524",ZOOM - Zoom subscription
2025-11-09,"₹5,084",IMPS - IMPS transfer POS/MQ31YT
2025-12-01,737,FREELANCER - Freelance services POS/V8YWCI
2025-05-26,"1,628 INR",ATLASSIAN - Atlassian Jira Txn IZRDTPF0RNVH
2025-09-23,200 INR,JIO - Jio fiber bill Ref TI6ZRVHBI6
2025-09-23,"1,957 INR",AIRTEL - Airtel broadband bill Txn X90SW56385WX
2025-11-20,"1,101",GITHUB - GitHub subscription MUM
2025-05-27,"1,200 INR",INDIGO - IndiGo flight BLR
2025-11-29,"6,598.34 INR",MAKEMYTRIP - MakeMyTrip booking POS/X6PY3O
2025-08-24,518,SWIGGY - Swiggy food order MUM
2025-06-11,"₹12,876",GOIBIBO - Goibibo booking DEL
2025-06-14,₹150,FLIPKART - Flipkart office supplies Ref VJD7WLKMMO
2025-12-18,50,NEFT - NEFT transfer POS/US957Q
2025-11-26,80 INR,DOMINOS - Dominos pizza AHM
2025-03-12,80,STARBUCKS - Starbucks coffee UPI/FFMD5T
2025-12-23,₹175,IRCTC - IRCTC train booking BLR
2025-08-07,581,ZOMATO - Zomato food order AHM
2025-08-06,"2,712",ADOBE - Adobe subscription Txn 3MFP7XUJ7EQU
2025-11-29,"5,029 INR",CA CONSULT - CA consultation UPI/X9UVGE
2025-06-23,200,SLACK - Slack subscription Ref DTVLCD5V61
2025-01-19,235,OLA - Ola ride UPI/H84BJ6
2025-12-27,"5,895",VISTARA - Vistara flight MUM
2025-04-20,849,ZOMATO - Zomato food order
2025-07-25,"2,070",WATER - Water bill BLR
2025-11-26,113.85,ICICI - ICICI bank fee AHM
2025-10-16,"1,155",BIGBASKET - BigBasket groceries Ref S984S939CY
2025-12-18,768.97 INR,NEFT - NEFT transfer DEL
2025-05-29,₹828,BIGBASKET - BigBasket groceries Txn 7U2VYPLUWEX1
2025-09-02,356,MICROSOFT - Microsoft 365 POS/9JGK38
2025-03-06,"3,714",INDIGO - IndiGo flight Txn G1HP4X4A4MCD
2025-05-28,"₹15,714",AWS - AWS cloud charges DEL
2025-03-31,590,STARBUCKS - Starbucks coffee MUM
2025-06-21,"2,594",CA CONSULT - CA consultation BLR
2025-09-29,200 INR,WATER - Water bill MUM
2025-08-30,"3,251 INR",AIRTEL - Airtel broadband bill POS/7PROT9
2025-09-28,"₹1,200",VISTARA - Vistara flight Ref ASAHJWI06S
2025-02-20,"₹1,776",JIO - Jio fiber bill BLR
2025-09-28,150,FLIPKART - Flipkart office supplies Ref 9T3LU50EB8
2025-12-17,"₹9,421",CA CONSULT - CA consultation POS/M95JEW
2025-07-20,₹261.09,HDFC - HDFC bank charge AHM
2025-06-07,635.77,DOMINOS - Dominos pizza BLR
2025-04-18,"₹4,552",GOIBIBO - Goibibo booking UPI/LUD3K7
2025-02-16,₹375,KFC - KFC meal Txn ROSUTUGHDUPA
2025-06-27,450,STARBUCKS - Starbucks coffee DEL
2025-12-04,50,NEFT - NEFT transfer Ref AWZSAH1S6R
2025-12-15,"2,246",FLIPKART - Flipkart office supplies BLR
2025-07-11,₹999,DMART - DMart groceries
2025-09-30,"₹1,359.82",ZOOM - Zoom subscription MUM
2025-07-08,146,OLA - Ola ride Ref ERSC8UJ11B
2025-07-19,₹287,SPOTIFY - Spotify subscription DEL
2025-05-31,"2,573",META ADS - Meta ads spend
2025-08-19,425,SPOTIFY - Spotify subscription MUM
2025-08-02,₹726,SWIGGY - Swiggy food order
2025-03-08,"1,078 INR",STARBUCKS - Starbucks coffee AHM
2025-02-07,"6,830",LEGAL - Legal services
2025-06-15,"16,058.92 INR",LEGAL - Legal services UPI/F3QIOE
2025-06-07,"8,602",GOIBIBO - Goibibo booking ONLINE/EACQAF
2025-03-10,10 INR,ICICI - ICICI bank fee BLR
2025-03-18,878 INR,IRCTC - IRCTC train booking MUM
2025-08-27,₹493,NETFLIX - Netflix subscription DEL
2025-02-14,"₹4,100",FLIPKART - Flipkart office supplies Ref C8FAQ3PT7Q
2025-01-07,"2,138 INR",FREELANCER - Freelance services ONLINE/1QGOUR
2025-12-26,"₹2,760",GAS - Gas bill AHM
2025-12-04,"1,565",ZOOM - Zoom subscription UPI/NUG3IZ
2025-10-26,₹292.09,STARBUCKS - Starbucks coffee Ref ZLWHIGGOVI
2025-09-12,₹471,SLACK - Slack subscription Txn UCAIYKSB5KGT
2025-05-12,"₹1,664",ELECTRICITY - Electricity bill MUM
2025-12-26,₹529,DOMINOS - Dominos pizza AHM
2025-08-11,₹675,DMART - DMart groceries BLR
2025-10-10,41,SBI - SBI service charge Txn 7XLT2KBI72ZQ
2025-08-30,980 INR,ZOMATO - Zomato food order UPI/YWQQ62
2025-04-08,277 INR,STARBUCKS - Starbucks coffee BLR
2025-10-18,80,DOMINOS - Dominos pizza
2025-12-19,"₹2,061",JIO - Jio fiber bill Payment 3LUUWU
2025-12-17,360,NOTION - Notion subscription Ref C2AVX3X6N3
2025-11-28,"2,848",WATER - Water bill ONLINE/RB5180
2025-01-30,"1,180",ADOBE - Adobe subscription Txn F6M9UA0BB3SJ
2025-11-01,₹113,ICICI - ICICI bank fee
2025-08-03,"2,296",JIO - Jio fiber bill MUM
2025-11-10,"1,540 INR",AMAZON - Amazon office supplies POS/GJWE7O
2025-02-07,"14,637 INR",LEGAL - Legal services BLR
2025-01-26,518 INR,SWIGGY - Swiggy food order Payment PMVQR3
2025-02-18,500,GOOGLE CLOUD - Google Cloud billing AHM
2025-03-23,"1,501",UPI - UPI transfer AHM
2025-02-22,₹241,ZOOM - Zoom subscription AHM
2025-09-11,₹118,ICICI - ICICI bank fee Payment GZ8KEE
2025-04-05,"1,911.79",GAS - Gas bill BLR
2025-08-03,"2,139 INR",GITHUB - GitHub subscription POS/6I1DNH
2025-04-30,"2,981 INR",WATER - Water bill DEL
2025-05-23,"1,197",AWS - AWS cloud charges AHM
2025-11-20,514,STARBUCKS - Starbucks coffee UPI/4SNSI8
2025-04-19,537,KFC - KFC meal DEL
2025-12-01,"₹1,564",GAS - Gas bill POS/1B7ULN
2025-02-28,"₹13,492",FREELANCER - Freelance services DEL
2025-09-08,129 INR,ICICI - ICICI bank fee BLR
2025-03-25,362.78,SPOTIFY - Spotify subscription POS/UAQX7C
2025-11-15,"11,136.63",GOOGLE CLOUD - Google Cloud billing UPI/Q6MAUL
2025-08-07,331.46,DOMINOS - Dominos pizza AHM
2025-12-31,251,ZOMATO - Zomato food order DEL
2025-10-12,558,DMART - DMart groceries BLR
2025-07-11,₹180,KFC - KFC meal Ref QHGH5HV9A8
2025-08-14,₹418,RELIANCE FRESH - Reliance Fresh groceries Payment BKSSZV
2025-02-01,"7,601 INR",VISTARA - Vistara flight
2025-11-29,₹162.13,SWIGGY - Swiggy food order ONLINE/KJGUFP
2025-08-08,"1,667.85",DMART - DMart groceries POS/OP346W
2025-09-05,578,SPOTIFY - Spotify subscription Payment W7M5NU
2025-08-08,"₹2,102",NOTION - Notion subscription POS/PEBR9F
2025-02-25,"1,148",MICROSOFT - Microsoft 365 AHM
2025-10-12,131,DOMINOS - Dominos pizza
2025-01-21,₹478,DOMINOS - Dominos pizza Txn 8J3DR0YGMW9N
2025-06-10,"5,600",AMAZON - Amazon office supplies MUM
2025-12-29,"2,757.88 INR",AMAZON - Amazon office supplies Payment J8BTIF
2025-02-23,₹10,ICICI - ICICI bank fee POS/9A0WT9
2025-10-06,"1,546.51",GITHUB - GitHub subscription Ref VF30E3HVW2
2025-11-19,"₹1,300",FLIPKART - Flipkart office supplies Ref SFLJYSCF1Z
2025-04-23,"13,514",GOIBIBO - Goibibo booking Payment QXM4CD
2025-07-29,₹783,GITHUB - GitHub subscription Payment BJCNGG
2025-07-03,"₹8,858",INDIGO - IndiGo flight Txn V5WP70F4KCYP
2025-03-11,"₹7,139.43",MAKEMYTRIP - MakeMyTrip booking BLR
2025-08-12,979,FLIPKART - Flipkart office supplies ONLINE/ARUKGD
2025-02-24,₹353,BIGBASKET - BigBasket groceries Txn C85AFSMC45EZ
2025-07-05,500,GOOGLE ADS - Google ads spend POS/BKBVDZ
2025-09-19,455.75,DMART - DMart groceries DEL
2025-01-09,"3,655",FLIPKART - Flipkart office supplies DEL
2025-04-27,"₹1,896",DMART - DMart groceries AHM
2025-05-29,200,AIRTEL - Airtel broadband bill POS/CRJT2Z
2025-12-15,"6,046 INR",GOOGLE CLOUD - Google Cloud billing POS/4PX9BH
2025-02-16,₹623,DMART - DMart groceries UPI/NB4BB7
2025-02-08,"10,732 INR",INDIGO - IndiGo flight UPI/FVGM2N
2025-02-21,"₹6,612",MAKEMYTRIP - MakeMyTrip booking POS/90ION3
2025-06-16,500,CA CONSULT - CA consultation Txn Y71G4PFKNPLR
2025-02-21,189,HDFC - HDFC bank charge MUM
2025-05-30,"₹4,336",LEGAL - Legal services AHM
2025-04-26,916 INR,AIRTEL - Airtel broadband bill Ref WDULPAESFA
2025-01-16,₹642,STARBUCKS - Starbucks coffee BLR
2025-06-11,"3,784 INR",FLIPKART - Flipkart office supplies POS/QOC113
2025-10-13,"1,429 INR",BIGBASKET - BigBasket groceries Ref UF27CFN156
2025-07-09,140 INR,OLA - Ola ride MUM
2025-02-09,"₹12,359",CA CONSULT - CA consultation AHM
2025-06-01,200,GAS - Gas bill POS/RQO17K
2025-09-04,"5,975 INR",INDIGO - IndiGo flight BLR
2025-10-21,"1,997",SLACK - Slack subscription Ref E8UYQEB4XY
2025-07-10,"₹6,410",IMPS - IMPS transfer UPI/EG1QS4
2025-04-21,"₹1,568",RELIANCE FRESH - Reliance Fresh groceries DEL
2025-11-09,200 INR,ELECTRICITY - Electricity bill BLR
2025-04-03,"1,672.54",ADOBE - Adobe subscription ONLINE/TM83H3
2025-11-12,"4,350.47",FLIPKART - Flipkart office supplies
2025-10-28,"1,388 INR",SLACK - Slack subscription MUM
2025-09-27,"₹1,622",WATER - Water bill UPI/76CTN7
2025-09-14,"1,713",INDIGO - IndiGo flight MUM
2025-05-05,₹342,SWIGGY - Swiggy food order Ref WKIUUV3EL7
2025-01-09,₹687,ADOBE - Adobe subscription DEL
2025-06-21,"₹2,865",WATER - Water bill DEL
2025-08-24,668,RELIANCE FRESH - Reliance Fresh groceries Payment E3JMXC
2025-12-25,"₹1,940",ATLASSIAN - Atlassian Jira Txn LSHTHFUGDWT1
2025-10-10,₹102,OLA - Ola ride Payment RLM7YF
2025-04-08,"1,440 INR",MICROSOFT - Microsoft 365 AHM
2025-04-07,"1,941",DMART - DMart groceries DEL
2025-07-04,"5,265 INR",IMPS - IMPS transfer MUM
2025-04-27,698,ADOBE - Adobe subscription BLR
2025-06-29,146 INR,KFC - KFC meal ONLINE/EQH8W0
2025-10-14,202,NETFLIX - Netflix subscription AHM
2025-08-01,"8,610",MAKEMYTRIP - MakeMyTrip booking POS/YZ9K8Z
2025-04-26,"₹12,461",MAKEMYTRIP - MakeMyTrip booking
2025-07-30,"₹2,268",ZOOM - Zoom subscription ONLINE/M4SNAR
2025-09-14,440,NETFLIX - Netflix subscription Txn 31Q1YJF5GHAJ
2025-12-19,"1,627",BIGBASKET - BigBasket groceries Ref 6JR7O9CRA8
2025-05-07,730,NOTION - Notion subscription ONLINE/L8LGAX
2025-06-02,"₹1,223",RELIANCE FRESH - Reliance Fresh groceries BLR
2025-06-04,"₹3,608.83",INDIGO - IndiGo flight MUM
2025-01-05,"₹3,818",VISTARA - Vistara flight BLR
2025-08-02,"1,844",MAKEMYTRIP - MakeMyTrip booking POS/OCXNO5
2025-08-17,"12,167.12",FREELANCER - Freelance services Payment GJSY9X
2025-11-16,350,SPOTIFY - Spotify subscription UPI/M4KV4V
2025-11-11,"1,200 INR",INDIGO - IndiGo flight
2025-04-16,"5,559",META ADS - Meta ads spend BLR
2025-03-04,"₹11,766",CA CONSULT - CA consultation UPI/1P8WEE
2025-03-11,"4,031",CA CONSULT - CA consultation Payment 3Z36DC
2025-08-01,"1,085 INR",MICROSOFT - Microsoft 365 ONLINE/AJMHQX
2025-11-04,745 INR,NOTION - Notion subscription Ref 5UR8J53XP8
2025-03-31,"₹6,644",FLIPKART - Flipkart office supplies Ref JD97II8CH4
2025-01-22,"1,737",ELECTRICITY - Electricity bill Payment J6L79J
2025-06-16,74,ICICI - ICICI bank fee MUM
2025-02-15,"6,670.85",CA CONSULT - CA consultation Payment N7346G
2025-10-23,"₹10,544",META ADS - Meta ads spend POS/SA6ZOW
2025-05-14,"9,850.81",LEGAL - Legal services POS/OHIF5V
2025-01-13,"1,151",MICROSOFT - Microsoft 365 DEL
2025-11-14,494,ZOMATO - Zomato food order Txn D4UKNIR7ULA3
2025-02-01,"1,330",RELIANCE FRESH - Reliance Fresh groceries MUM
2025-10-12,"3,366.35 INR",WATER - Water bill AHM
2025-10-08,"₹2,722",MICROSOFT - Microsoft 365 Payment AKEQH8
2025-12-19,628.12 INR,NETFLIX - Netflix subscription Payment GR7NPV
2025-07-24,₹161,DOMINOS - Dominos pizza
2025-01-09,97,SBI - SBI service charge ONLINE/NN9OIE
2025-12-07,"6,605 INR",AWS - AWS cloud charges Txn SQE239VPPD2M
2025-05-17,317,ZOOM - Zoom subscription Txn R1OICX9NA7UW
2025-01-26,"2,965",AWS - AWS cloud charges DEL
2025-05-05,"13,884",INDIGO - IndiGo flight POS/WELC2T
2025-06-07,717,BIGBASKET - BigBasket groceries MUM
2025-08-17,"₹1,754",SLACK - Slack subscription Ref 22XL5WS6UN
2025-08-10,"8,303 INR",GOIBIBO - Goibibo booking Ref 3UUZD0BKZU
2025-06-24,200 INR,ATLASSIAN - Atlassian Jira ONLINE/QFBCOL
2025-01-07,"1,944",FLIPKART - Flipkart office supplies Payment 27OTJ3
2025-03-31,₹871,GAS - Gas bill
2025-10-15,"₹2,016",FLIPKART - Flipkart office supplies MUM
2025-05-06,348,ZOOM - Zoom subscription DEL
2025-04-03,₹197,STARBUCKS - Starbucks coffee Payment 0C4NPH
2025-02-22,"14,629",META ADS - Meta ads spend Payment JE6WSX
2025-03-07,"₹5,181",NEFT - NEFT transfer POS/BEXMFZ
2025-06-04,570,ATLASSIAN - Atlassian Jira Txn FEFO1RS3LFP7
2025-08-28,"1,126 INR",ELECTRICITY - Electricity bill UPI/902ICQ
2025-04-24,₹509,RELIANCE FRESH - Reliance Fresh groceries AHM
2025-12-30,"₹1,200",GOIBIBO - Goibibo booking
2025-03-25,₹200,NOTION - Notion subscription UPI/88W4EZ
2025-10-03,100,HDFC - HDFC bank charge MUM
2025-09-16,₹857.70,IRCTC - IRCTC train booking UPI/5X92BT
2025-05-05,"3,124",LEGAL - Legal services BLR
2025-09-20,"8,391 INR",INDIGO - IndiGo flight POS/DA85MX
2025-07-12,"6,101",MAKEMYTRIP - MakeMyTrip booking UPI/Q3F0Z0
2025-08-27,"₹1,864",WATER - Water bill ONLINE/NQP7LY
2025-01-01,"11,533",LEGAL - Legal services POS/JB9C1U
2025-05-17,892,ELECTRICITY - Electricity bill
2025-10-21,67,HDFC - HDFC bank charge MUM
2025-12-15,"₹7,196",VISTARA - Vistara flight Payment AXHOTY
2025-12-17,₹80,ZOMATO - Zomato food order DEL
2025-06-08,"1,152 INR",RELIANCE FRESH - Reliance Fresh groceries MUM
2025-05-15,"1,315",ADOBE - Adobe subscription
2025-07-25,82,HDFC - HDFC bank charge Payment D90F67
2025-11-15,"₹2,096",WATER - Water bill BLR
2025-12-25,"1,710",ADOBE - Adobe subscription BLR
2025-10-09,"6,553 INR",NEFT - NEFT transfer Ref 3XOX8GQLG5
2025-03-14,45,SBI - SBI service charge BLR
2025-10-28,"₹2,949",SLACK - Slack subscription Txn 4KSOVMYH8WZM
2025-09-22,"9,376 INR",NEFT - NEFT transfer AHM
2025-02-09,"1,025",DMART - DMart groceries Txn H2JW3A2YLSXD
2025-01-24,"1,269",ADOBE - Adobe subscription POS/G6CGMZ
2025-10-29,"5,100",VISTARA - Vistara flight AHM
2025-08-22,"₹5,603",IMPS - IMPS transfer UPI/XOZWWB
2025-07-21,₹525.05,SPOTIFY - Spotify subscription Ref 30XJ1E2IBH
2025-12-18,500 INR,LEGAL - Legal services BLR
2025-10-19,"1,143",ELECTRICITY - Electricity bill
2025-07-31,"₹2,456",WATER - Water bill Ref S8UO113TBR
2025-03-13,498,ZOMATO - Zomato food order Payment 0BZ209
2025-03-16,₹299.46,HDFC - HDFC bank charge MUM
2025-04-09,150,FLIPKART - Flipkart office supplies MUM
2025-06-01,₹302,SBI - SBI service charge Txn 772XI9JZ4WNY
2025-09-21,236.56 INR,KFC - KFC meal DEL
2025-06-05,51.99,SBI - SBI service charge ONLINE/LSV789
2025-03-23,₹248,OLA - Ola ride Txn UCX001MNO55H
2025-05-11,₹104,SBI - SBI service charge UPI/HUFPYE
2025-06-09,"7,064",GOIBIBO - Goibibo booking ONLINE/NGHS72
2025-04-21,"₹2,289",NOTION - Notion subscription
2025-02-16,"₹6,101",AMAZON - Amazon office supplies BLR
2025-10-16,"₹1,862",MICROSOFT - Microsoft 365 UPI/ILTX7I
2025-09-01,"13,317",LEGAL - Legal services DEL
2025-02-25,"₹2,026",DMART - DMart groceries POS/DLSFHX
2025-08-06,80 INR,SWIGGY - Swiggy food order AHM
2025-03-26,₹451,STARBUCKS - Starbucks coffee ONLINE/TA2R83
2025-10-02,"2,323.80",NOTION - Notion subscription POS/LELDIY
2025-05-31,"8,346.84 INR",NEFT - NEFT transfer UPI/WXGL9H
2025-01-05,"₹3,266",NEFT - NEFT transfer DEL
2025-09-04,"₹7,745",INDIGO - IndiGo flight
2025-01-03,"5,425",UPI - UPI transfer BLR
2025-02-19,200 INR,NOTION - Notion subscription DEL
2025-07-03,"3,672 INR",FLIPKART - Flipkart office supplies MUM
2025-10-23,80 INR,STARBUCKS - Starbucks coffee Payment LR687F
2025-12-11,"8,371",MAKEMYTRIP - MakeMyTrip booking BLR
2025-10-21,"2,880 INR",ATLASSIAN - Atlassian Jira Ref 9QHDOBGF4W
2025-12-02,₹241.50,UBER - Uber trip DEL
2025-05-07,₹536,AMAZON - Amazon office supplies ONLINE/QRFKQM
2025-11-09,"₹2,448",AMAZON - Amazon office supplies BLR
2025-10-04,"₹12,771",GOIBIBO - Goibibo booking BLR
2025-01-04,"1,317",RELIANCE FRESH - Reliance Fresh groceries MUM
2025-03-15,"₹15,392",LEGAL - Legal services BLR
2025-01-10,"1,067 INR",GITHUB - GitHub subscription UPI/LQBI52
2025-03-27,₹259.63,UBER - Uber trip UPI/VOJDSW
2025-09-05,181,OLA - Ola ride DEL
2025-08-03,25,SBI - SBI service charge BLR
2025-08-24,294 INR,OLA - Ola ride Ref WRJWI3YHSW
2025-09-03,190,HDFC - HDFC bank charge Txn M1N1Z7V1J0AC
2025-03-08,"5,665.24",GOIBIBO - Goibibo booking DEL
2025-05-27,264,SPOTIFY - Spotify subscription UPI/7ZEMXN
2025-03-25,588,GAS - Gas bill BLR
2025-05-16,"7,180.83",FREELANCER - Freelance services Payment QF4E27
2025-03-08,"1,544",ZOOM - Zoom subscription Payment VMB996
2025-03-23,"16,092 INR",GOOGLE ADS - Google ads spend
2025-03-09,115,HDFC - HDFC bank charge DEL
2025-09-11,"8,999.76",LEGAL - Legal services DEL
2025-04-25,₹50,IMPS - IMPS transfer MUM
2025-08-19,₹569.60,ZOOM - Zoom subscription Txn Z3VYM7IIV3LX
2025-07-30,"1,640.05 INR",RELIANCE FRESH - Reliance Fresh groceries
2025-06-09,"6,204",VISTARA - Vistara flight MUM
2025-01-02,"7,664 INR",LEGAL - Legal services DEL
2025-08-06,₹836,SLACK - Slack subscription UPI/NND6KN
2025-07-19,₹708,DOMINOS - Dominos pizza UPI/J1LQTC
2025-12-19,"₹1,200",INDIGO - IndiGo flight
2025-12-07,₹293,SPOTIFY - Spotify subscription AHM
2025-07-09,₹448,NETFLIX - Netflix subscription POS/MI5HC8
2025-06-11,"10,055",VISTARA - Vistara flight DEL
2025-08-04,360,SPOTIFY - Spotify subscription DEL
2025-03-06,395,NETFLIX - Netflix subscription ONLINE/HPYLPJ
2025-07-18,"₹13,657",LEGAL - Legal services ONLINE/L3MHPQ
2025-09-27,200,GITHUB - GitHub subscription Txn C1Q9UGQ4JK5X
2025-03-06,₹805,IRCTC - IRCTC train booking Txn 2PQTZ98DJ1D5
2025-02-11,50,NEFT - NEFT transfer POS/WGLU43
2025-01-12,200 INR,ADOBE - Adobe subscription Txn LIKHTNEVN3OJ
2025-10-26,276.34,OLA - Ola ride Ref JHZGUQRS9Y
2025-07-08,"1,743",AIRTEL - Airtel broadband bill UPI/Q5UEST
2025-01-10,514 INR,ZOMATO - Zomato food order POS/MQGU02
2025-09-24,"2,418 INR",AWS - AWS cloud charges AHM
2025-08-28,553,SWIGGY - Swiggy food order AHM
2025-07-09,"7,484 INR",NEFT - NEFT transfer Payment CKUKEM
2025-01-16,843,BIGBASKET - BigBasket groceries POS/XUVBAZ
2025-08-17,32.85 INR,ICICI - ICICI bank fee
2025-07-08,697,SWIGGY - Swiggy food order Ref KY7G3UE57K
2025-04-07,"₹1,200",VISTARA - Vistara flight POS/58NX04
2025-05-13,"2,434",MAKEMYTRIP - MakeMyTrip booking UPI/TX0RJE
2025-07-17,50,NEFT - NEFT transfer AHM
2025-12-16,"₹16,503",AWS - AWS cloud charges Ref CY8ROJJRSK
2025-10-01,459 INR,NETFLIX - Netflix subscription
2025-07-26,904 INR,KFC - KFC meal Payment E4S13Z
2025-10-19,879,UPI - UPI transfer MUM
2025-09-10,394 INR,NETFLIX - Netflix subscription UPI/O1APLF
2025-10-17,"₹2,911.61",AMAZON - Amazon office supplies DEL
2025-06-02,126,OLA - Ola ride DEL
2025-07-23,"2,384",AIRTEL - Airtel broadband bill BLR
2025-06-15,150 INR,AMAZON - Amazon office supplies BLR
2025-06-07,288,SPOTIFY - Spotify subscription BLR
2025-12-02,"2,397.22",INDIGO - IndiGo flight UPI/G35L25
2025-11-13,"₹8,607",INDIGO - IndiGo flight MUM
2025-06-21,"₹2,345",ZOOM - Zoom subscription Txn 8EE61YQHB532
2025-06-24,"₹5,375.60",META ADS - Meta ads spend Ref BITOD22X2Y
2025-08-07,₹133,STARBUCKS - Starbucks coffee ONLINE/ZCTHXS
2025-03-26,"₹7,417",FREELANCER - Freelance services DEL
2025-06-22,10,SBI - SBI service charge
2025-10-15,₹50,NEFT - NEFT transfer BLR
